abandon'd	abandoned
attack'd	attacked
attain'd	attained
attemper'd	tempered
attir'd	attired
atton'd	attoned
attun'd	attuned
augur'd	augured
authoris'd	authorised
authoriz'd	authorised
av'rice	avarice
avail'd	availed
aveng'd	avenged
aver'd	averred
averr'd	averred
avow'd	avowed
aw'd	awed
awak'd	awaked
awak'ning	awakening
awaken'd	awakened
ax'd	axed
back'd	backed
baffl'd	baffled
bail'd	bailed
bak'd	baked
balanc'd	balanced
balk'd	baulked
ballanc'd	balanced
bandy'd	bandied
bang'd	banged
banish'd	banished
banner'd	bannered
banter'd	bantered
baptiz'd	baptised
bar'd	bared
barb'd	barbed
barb'rous	barbarous
bare-fac'd	bare-faced
barefac'd	barefaced
bargain'd	bargained
bark'd	barked
barr'd	barred
barrell'd	barrelled
barricado'd	barricaded
barter'd	bartered
bask'd	basked
bastinado'd	bastinadoed
bath'd	bathed
batter'd	battered
baulk'd	baulked
bawl'd	bawled
bay'd	bayed
beak'd	beaked
beam'd	beamed
bear'st	bearest
beatify'd	beatified
beautify'd	beautified
becalm'd	becalmed
beck'ning	beckoning
beckon'd	beckoned
bedaub'd	bedaubed
bedeck'd	bedecked
bedew'd	bedewed
bedizen'd	bedizened
bedrop'd	bed-roped
beforemention'd	beforementioned
beforenam'd	before-named
beg'd	begged
begg'd	begged
beggar'd	beggared
begrim'd	begrimed
beguil'd	beguiled
behav'd	behaved
behov'd	behoved
beleaguer'd	beleaguered
believ'd	believed
bellow'd	bellowed
belong'd	belonged
belov'd	beloved
bely'd	belied
bemoan'd	bemoaned
benefic'd	beneficed
benum'd	benumbed
benumb'd	benumbed
benumm'd	benumbed
beprais'd	be-praised
bequeath'd	bequeathed
bereav'd	bereaved
beseech'd	beseeched
besieg'd	besieged
besmear'd	besmeared
bespatter'd	bespattered
bestirr'd	bestirred
bestow'd	bestowed
bestrew'd	bestrewed
betray'd	betrayed
betroth'd	betrothed
better'd	bettered
bev'rage	beverage
bewail'd	bewailed
bewilder'd	bewildered
bewitch'd	bewitched
bewray'd	bewrayed
biass'd	biassed
bid'st	biddest
bilk'd	bilked
bill'd	billed
bitt'rest	bitterest
blabb'd	blabbed
black'd	blacked
black'ning	blackening
blacken'd	blackened
blam'd	blamed
blanch'd	blanched
blasphem'd	blasphemed
blaz'd	blazed
blazon'd	blazoned
bleach'd	bleached
blear'd	bleared
blemish'd	blemished
bless'd	blessed
blink'd	blinked
blister'd	blistered
block'd	blocked
blood-stain'd	blood-stained
bloom'd	bloomed
blossom'd	blossomed
blow'd	blowed
blubber'd	blubbered
blue-ey'd	blue-eyed
blund'ring	blundering
blunder'd	blundered
blurr'd	blurred
blush'd	blushed
blust'ring	blustering
bluster'd	blustered
boil'd	boiled
boist'rous	boisterous
bolster'd	bolstered
bor'd	bored
bord'ring	bordering
border'd	bordered
borrow'd	borrowed
bosom'd	bosomed
boss'd	bossed
bother'd	bothered
bottom'd	bottomed
bounc'd	bounced
bow'd	bowed
bow'r	bower
bow'rs	bowers
box'd	boxed
boyl'd	boiled
brac'd	braced
bragg'd	bragged
brain'd	brained
branch'd	branched
brandish'd	brandished
brav'd	braved
bray'd	brayed
breath'd	breathed
brew'd	brewed
brib'd	bribed
bridg'd	bridged
bright'ning	brightening
bright-ey'd	bright-eyed
bright-hair'd	bright-haired
brighten'd	brightened
bring'st	bringest
broach'd	broached
broider'd	broidered
broil'd	broiled
brook'd	brooked
bruis'd	bruised
brush'd	brushed
bubbl'd	bubbled
buckl'd	buckled
bugbear'd	bugbeared
bulg'd	bulged
bully'd	bullied
buoy'd	buoyed
burden'd	burdened
burlesqu'd	burlesqued
burn'd	burned
burnish'd	burnished
burthen'd	burdened
bury'd	buried
bus'ness	business
buskin'd	buskined
buss'd	bussed
busy'd	busied
butcher'd	butchered
butter'd	buttered
button'd	buttoned
buzz'd	buzzed
byass'd	biassed
cag'd	caged
cajol'd	cajoled
calcin'd	calcined
call'd	called
call'st	callest
calm'd	calmed
cam'st	camest
can'd	caned
cancel'd	cancelled
cancell'd	cancelled
candy'd	candied
canker'd	cankered
canoniz'd	canonised
canopy'd	canopied
canter'd	cantered
canton'd	cantoned
canvass'd	canvassed
cap'd	caped
caparison'd	caparisoned
caper'd	capered
capp'd	capped
captiv'd	captived
captur'd	captured
car'd	cared
careen'd	careened
caress'd	caressed
caroll'd	carolled
carri'd	carried
carry'd	carried
carv'd	carved
cas'd	cased
cashier'd	cashiered
catch'd	catched
catechiz'd	catechised
caus'd	caused
caution'd	cautioned
cavern'd	caverned
cavil'd	cavilled
ceas'd	ceased
censur'd	censured
center'd	centred
chac'd	chased
chaf'd	chafed
chaff'd	chaffed
chagrin'd	chagrined
chain'd	chained
chalk'd	chalked
challeng'd	challenged
chanc'd	chanced
chang'd	changed
channel'd	channelled
character'd	charactered
characteris'd	characterised
characteriz'd	characterised
charg'd	charged
charm'd	charmed
charter'd	chartered
chas'd	chased
chasten'd	chastened
chastis'd	chastised
chastiz'd	chastised
chatt'ring	chattering
chatter'd	chattered
chear'd	cheered
check'd	checked
checker'd	chequered
checquer'd	chequered
cheer'd	cheered
chequer'd	chequered
cherish'd	cherished
cherry-cheek'd	cherry-cheeked
chew'd	chewed
chill'd	chilled
chim'd	chimed
chirp'd	chirped
chissel'd	chiselled
choak'd	choked
chop'd	chopped
chopp'd	chopped
chorus'd	chorused
chous'd	choosed
christen'd	christened
chu'd	chued
churn'd	churned
chus'd	choosed
circl'd	circled
circumcis'd	circumcised
circumscrib'd	circumscribed
circumstanc'd	circumstanced
civiliz'd	civilised
claim'd	claimed
clam'rous	clamorous
clamber'd	clambered
clamour'd	clamoured
clank'd	clanked
clap'd	clapped
clapp'd	clapped
clash'd	clashed
clasp'd	clasped
class'd	classed
clatt'ring	clattering
clatter'd	clattered
claw'd	clawed
clean'd	cleaned
cleans'd	cleansed
clear'd	cleared
cleav'd	cleaved
clench'd	clenched
click'd	clicked
climb'd	climbed
clinch'd	clenched
clip'd	clipped
clipp'd	clipped
cloak'd	cloaked
cloath'd	clothed
clog'd	clogged
clogg'd	clogged
cloister'd	cloistered
clos'd	closed
close-wedg'd	close-wedged
cloth'd	clothed
clover'd	clovered
cloy'd	cloyed
cloyster'd	cloistered
clust'ring	clustering
cluster'd	clustered
coax'd	coaxed
cobwebb'd	cobwebbed
cock'd	cocked
coffin'd	coffined
cogg'd	cogged
coil'd	coiled
coin'd	coined
col'nel	colonel
collar'd	collared
colour'd	coloured
com'd	combed
com'st	comest
comb'd	combed
combin'd	combined
commenc'd	commenced
commission'd	commissioned
commix'd	commixed
commun'd	communed
compar'd	compared
compass'd	compassed
compel'd	compelled
compell'd	compelled
compil'd	compiled
complain'd	complained
comply'd	complied
compos'd	composed
compress'd	compressed
compris'd	comprised
compriz'd	comprised
con'd	conned
conceal'd	concealed
conceiv'd	conceived
concenter'd	concentered
concern'd	concerned
concur'd	concurred
concurr'd	concurred
condemn'd	condemned
condens'd	condensed
condition'd	conditioned
condol'd	condoled
conf'rence	conference
confed'rate	confederate
confer'd	conferred
conferr'd	conferred
confess'd	confessed
confin'd	confined
confirm'd	confirmed
conform'd	conformed
confus'd	confused
confus'dly	confusedly
congeal'd	congealed
conjectur'd	conjectured
conjoin'd	conjoined
conjoyn'd	conjoined
conjur'd	conjured
conn'd	conned
conniv'd	connived
conq'ring	conquering
conqu'ring	conquering
conqu'ror	conqueror
conquer'd	conquered
consess'd	consessed
consider'd	considered
consign'd	consigned
consin'd	consigned
consol'd	consoled
conspir'd	conspired
constrain'd	constrained
constru'd	construed
consum'd	consumed
contain'd	contained
contemn'd	contemned
continu'd	continued
contriv'd	contrived
control'd	controlled
controll'd	controlled
controul'd	controlled
conven'd	convened
convers'd	conversed
convey'd	conveyed
convinc'd	convinced
convine'd	convinced
convok'd	convoked
convolv'd	convolved
convoy'd	convoyed
convuls'd	convulsed
coo'd	cooed
cook'd	cooked
cool'd	cooled
coop'd	cooped
copy'd	copied
cork'd	corked
corn'd	corned
corner'd	cornered
cottag'd	cottaged
cou'd	could
cou'dn't	couldn't
cou'dst	couldst
couch'd	couched
cough'd	coughed
counsel'd	counselled
counsell'd	counselled
count'nance	countenance
countenanc'd	countenanced
counterflour'd	counter-flowered
counterflower'd	counter-flowered
cours'd	coursed
courtesy'd	courtesied
cov'nant	covenant
cov'ring	covering
cover'd	covered
cow'd	cowed
cozen'd	cozened
crack'd	cracked
cram'd	crammed
cramm'd	crammed
cramp'd	cramped
crash'd	crashed
crav'd	craved
crawl'd	crawled
craz'd	crazed
cribb'd	cribbed
crimson'd	crimsoned
cring'd	cringed
criticis'd	criticised
croak'd	croaked
crook'd	crooked
crop'd	cropped
cropp'd	cropped
cross'd	crossed
cross-grain'd	cross-grained
cross-legg'd	cross-legged
crouch'd	crouched
crow'd	crowed
crown'd	crowned
crucify'd	crucified
crush'd	crushed
cry'd	cried
cudgel'd	cudgelled
cudgell'd	cudgelled
cuff'd	cuffed
cull'd	culled
cultur'd	cultured
cumb'rous	cumbrous
cumber'd	cumbered
cur'd	cured
curb'd	curbed
curl'd	curled
curs'd	cursed
curss'd	curssed
curtail'd	curtailed
curtain'd	curtained
curv'd	curved
cuss'd	cussed
custom'd	customed
daisy'd	daisied
dally'd	dallied
dam'd	damed
damag'd	damaged
damask'd	damasked
dammag'd	dammaged
damn'd	damned
damp'd	damped
danc'd	danced
dang'rous	dangerous
dar'd	dared
dar'st	darest
dark'ning	darkening
darken'd	darkened
dash'd	dashed
dasy'd	dasyed
daub'd	daubed
daunc'd	danced
dawb'd	daubed
dawn'd	dawned
dazzl'd	dazzled
deaden'd	deadened
deaf'ning	deafening
deafen'd	deafened
dear-lov'd	dear-loved
debar'd	debarred
debarr'd	debarred
debas'd	debased
debauch'd	debauched
decamp'd	decamped
decay'd	decayed
deceas'd	deceased
deceiv'd	deceived
deck'd	decked
declaim'd	declaimed
declar'd	declared
declin'd	declined
decoy'd	decoyed
decreas'd	decreased
decry'd	decried
decypher'd	decyphered
deduc'd	deduced
deem'd	deemed
deep'd	deeped
deep'ning	deepening
deep-dy'd	deep-dyed
deep-mouth'd	deep-mouthed
deep-ton'd	deep-toned
deepen'd	deepened
defac'd	defaced
defam'd	defamed
defer'd	deferred
deferr'd	deferred
defil'd	defiled
defin'd	defined
deform'd	deformed
defray'd	defrayed
defy'd	defied
degen'rate	degenerate
deify'd	deified
deign'd	deigned
delay'd	delayed
deliv'rance	deliverance
deliv'rer	deliverer
deliver'd	delivered
delug'd	deluged
delv'd	delved
demean'd	demeaned
demolish'd	demolished
denounc'd	denounced
deny'd	denied
deplor'd	deplored
depos'd	deposed
deprav'd	depraved
depress'd	depressed
depriv'd	deprived
deriv'd	derived
describ'd	described
descry'd	descried
deserv'd	deserved
design'd	designed
desir'd	desired
desp'rate	desperate
despair'd	despaired
despis'd	despised
despoil'd	despoiled
destin'd	destined
destroy'd	destroyed
detach'd	detached
detain'd	detained
deter'd	deterred
determin'd	determined
deterr'd	deterred
dethron'd	dethroned
dev'l	devil
dev'lish	devilish
develop'd	developed
devis'd	devised
devolv'd	devolved
devour'd	devoured
dext'rous	dexterous
di'mond	diamond
did'nt	didn't
did'st	didst
diff'rence	difference
diff'rent	different
diff'ring	differing
differ'd	differed
diffus'd	diffused
dig'd	digged
digg'd	digged
dignify'd	dignified
digress'd	digressed
dim'd	dimmed
diminish'd	diminished
dimm'd	dimmed
dimpl'd	dimpled
din'd	dined
dip'd	dipped
dipp'd	dipped
disallow'd	disallowed
disappear'd	disappeared
disapprov'd	disapproved
disarm'd	disarmed
disarray'd	disarrayed
disburs'd	disbursed
disburthen'd	disburdened
discern'd	discerned
discharg'd	discharged
disciplin'd	disciplined
disclaim'd	disclaimed
disclos'd	disclosed
discolour'd	discoloured
discompos'd	discomposed
discountenanc'd	discountenanced
discourag'd	discouraged
discours'd	discoursed
discover'd	discovered
discuss'd	discussed
disdain'd	disdained
diseas'd	diseased
disembark'd	disembarked
disencumber'd	disencumbered
disengag'd	disengaged
disfigur'd	disfigured
disgrac'd	disgraced
disguis'd	disguised
dishearten'd	disheartened
dishevel'd	dishevelled
dishevell'd	dishevelled
dishonor'd	dishonoured
dishonour'd	dishonoured
disinclin'd	disinclined
disingag'd	disengaged
disjoin'd	disjoined
dislik'd	disliked
dislodg'd	dislodged
dismay'd	dismayed
dismember'd	dismembered
dismiss'd	dismissed
disnatur'd	dis-natured
disobey'd	disobeyed
disoblig'd	disobliged
disorder'd	disordered
disown'd	disowned
disparag'd	disparaged
dispassion'd	dispassioned
dispatch'd	dispatched
dispell'd	dispelled
dispenc'd	dispensed
dispens'd	dispensed
dispeopl'd	dis-peopled
dispers'd	dispersed
displac'd	displaced
display'd	displayed
displeas'd	displeased
dispos'd	disposed
dispossess'd	dispossessed
disproportion'd	disproportioned
disprov'd	disproved
disrob'd	disrobed
dissatisfy'd	dissatisfied
dissembl'd	dissembled
dissever'd	dissevered
dissolv'd	dissolved
distain'd	disdained
distanc'd	distanced
distemper'd	distempered
distill'd	distilled
distinguish'd	distinguished
distress'd	distressed
disturb'd	disturbed
disus'd	disused
ditch'd	ditched
div'd	dived
diversify'd	diversified
divin'd	divined
divorc'd	divorced
divulg'd	divulged
dizen'd	dizened
do'st	dost
dock'd	docked
doff'd	doffed
dog'd	dogged
dogg'd	dogged
dom'd	domed
doom'd	doomed
doubl'd	doubled
dow'r	dower
doz'd	dozed
drag'd	dragged
dragg'd	dragged
dragoon'd	dragooned
drain'd	drained
dream'd	dreamed
drench'd	drenched
dress'd	dressed
drill'd	drilled
driv'n	driven
droop'd	drooped
drop'd	dropped
dropp'd	dropped
drown'd	drowned
drubb'd	drubbed
drudg'd	drudged
drumm'd	drummed
dry'd	dried
dubb'd	dubbed
duck'd	ducked
dull'd	dulled
dunn'd	dunned
dup'd	duped
dwell'd	dwelled
dwell'st	dwellest
dy'd	died
e'en	even
e'er	ever
ear'd	eared
earn'd	earned
earth'd	earthed
eas'd	eased
ebb'd	ebbed
eccho'd	echoed
echo'd	echoed
eclips'd	eclipsed
edg'd	edged
edify'd	edified
effac'd	effaced
effus'd	effused
ek'd	eked
elaps'd	elapsed
elbow'd	elbowed
elop'd	eloped
embalm'd	embalmed
embarass'd	embarrassed
embark'd	embarked
embarrass'd	embarrassed
embattel'd	embattled
embattell'd	embattled
embattl'd	embattled
embay'd	embayed
embellish'd	embellished
embitter'd	embittered
emblaz'd	emblazed
emblazon'd	emblazoned
embody'd	embodied
embolden'd	emboldened
embosom'd	embosomed
emboss'd	embossed
embow'r'd	embowered
embow'ring	embowering
embowel'd	embowelled
embowell'd	embowelled
embower'd	embowered
embrac'd	embraced
embroid'ry	embroidery
embroider'd	embroidered
embroil'd	embroiled
embrown'd	embrowned
embru'd	imbrued
emerg'd	emerged
empassion'd	empassioned
employ'd	employed
empoison'd	empoisoned
empower'd	empowered
empty'd	emptied
enamel'd	enamelled
enamell'd	enamelled
enamour'd	enamoured
encamp'd	encamped
enchain'd	enchained
enchas'd	enchased
encircl'd	encircled
enclin'd	inclined
enclos'd	enclosed
encompass'd	encompassed
encount'ring	encountering
encounter'd	encountered
encourag'd	encouraged
encreas'd	increased
encroach'd	encroached
encumber'd	encumbered
endanger'd	endangered
endear'd	endeared
endeavor'd	endeavoured
endeavour'd	endeavoured
endow'd	endowed
endu'd	endued
endur'd	endured
enflam'd	inflamed
enforc'd	enforced
enfranchis'd	enfranchised
engag'd	engaged
engender'd	engendered
english'd	englished
engrav'd	engraved
engross'd	engrossed
engulph'd	engulfed
enhanc'd	enhanced
enjoin'd	enjoined
enjoy'd	enjoyed
enjoyn'd	enjoined
enlarg'd	enlarged
enlighten'd	enlightened
enliv'ning	enlivening
enliven'd	enlivened
ennobl'd	ennobled
enquir'd	inquired
enrag'd	enraged
enraptur'd	enraptured
enrich'd	enriched
enrob'd	enrobed
enroll'd	enrolled
ensanguin'd	ensanguined
enshrin'd	enshrined
ensign'd	ensigned
enslav'd	enslaved
ensnar'd	ensnared
ensu'd	ensued
ensur'd	insured
ent'ring	entering
entail'd	entailed
entangl'd	entangled
enter'd	entered
enterpriz'd	enterprized
entertain'd	entertained
enthrall'd	enthralled
enthron'd	enthroned
entic'd	enticed
entitl'd	entitled
entitul'd	entitled
entomb'd	entombed
entranc'd	entranced
entrench'd	entrenched
entwin'd	entwined
enur'd	enured
envelop'd	enveloped
envenom'd	envenomed
environ'd	environed
envy'd	envied
enwrapp'd	enwrapped
epitomiz'd	epitomised
equal'd	equaled
equall'd	equalled
equip'd	equipped
equipp'd	equipped
eras'd	erased
eraz'd	erased
ermin'd	ermined
err'd	erred
escap'd	escaped
espous'd	espoused
espy'd	espied
essay'd	essayed
essenc'd	essenced
establish'd	established
esteem'd	esteemed
estrang'd	estranged
etch'd	etched
eterniz'd	eternized
ev'n	even
ev'ning	evening
ev'ry	every
ever-honour'd	ever-honoured
evidenc'd	evidenced
evinc'd	evinced
evolv'd	evolved
examin'd	examined
excel'd	excelled
excell'd	excelled
excern'd	excerned
exchang'd	exchanged
exclaim'd	exclaimed
excus'd	excused
exemplify'd	exemplified
exercis'd	exercised
exhal'd	exhaled
exil'd	exiled
expel'd	expelled
expell'd	expelled
experienc'd	experienced
expir'd	expired
explain'd	explained
explor'd	explored
expos'd	exposed
express'd	expressed
expung'd	expunged
extinguish'd	extinguished
extol'd	extolled
extoll'd	extolled
ey'd	eyed
fac'd	faced
fail'd	failed
fair-hair'd	fair-haired
fal'n	fallen
fall'n	fallen
falsify'd	falsified
falt'ring	faltering
falter'd	faltered
fam'd	famed
familiariz'd	familiarised
famish'd	famished
fan'd	fanned
fancy'd	fancied
fann'd	fanned
fansy'd	fancied
far'd	fared
far-fam'd	far-famed
far-fetch'd	far-fetched
far-stretch'd	far-stretched
farm'd	farmed
fashion'd	fashioned
fasten'd	fastened
father'd	fathered
fathom'd	fathomed
fatigu'd	fatigued
fatten'd	fattened
fault'ring	faltering
faulter'd	faltered
fav'ring	favouring
fav'rite	favourite
fav'rites	favourites
favor'd	favoured
favour'd	favoured
fawn'd	fawned
fear'd	feared
fear'st	fearest
feather'd	feathered
featur'd	featured
fee'd	feed
feel'st	feelest
feign'd	feigned
feiz'd	seized
fell'd	felled
fenc'd	fenced
ferry'd	ferried
fester'd	festered
fetch'd	fetched
fetter'd	fettered
fev'rish	feverish
fever'd	fevered
fi'om	from
figh'd	sighed
figur'd	figured
fil'd	filed
fill'd	filled
fin'd	fined
finger'd	fingered
finish'd	finished
fir'd	fired
fish'd	fished
fix'd	fixed
flagg'd	flagged
flam'd	flamed
flank'd	flanked
flap'd	flapped
flapp'd	flapped
flash'd	flashed
flatt'rer	flatterer
flatt'rers	flatterers
flatt'ring	flattering
flatt'ry	flattery
flatter'd	flattered
flavour'd	flavoured
flay'd	flayed
flea'd	fleaed
fledg'd	fledged
fleec'd	fleeced
flesh'd	fleshed
flock'd	flocked
floor'd	floored
flounc'd	flounced
flounder'd	floundered
flourish'd	flourished
flow'd	flowed
flow'r	flower
flow'ret	floweret
flow'rets	flowerets
flow'rs	flowers
flow'ry	flowery
flower'd	flowered
flower-enamell'd	flower-enamelled
flowr'd	flowred
flush'd	flushed
fluster'd	flustered
flutt'ring	fluttering
flutter'd	fluttered
foam'd	foamed
fobb'd	fobbed
foil'd	foiled
follow'd	followed
fool'd	fooled
forc'd	forced
foredoom'd	foredoomed
foremention'd	forementioned
forestall'd	forestalled
forewarn'd	forewarned
forg'd	forged
forgiv'n	forgiven
form'd	formed
fortify'd	fortified
fortun'd	fortuned
fost'ring	fostering
foster'd	fostered
foul'd	fouled
founder'd	foundered
four-legg'd	four-legged
fractur'd	fractured
fram'd	framed
free'd	freed
freshen'd	freshened
frighten'd	frightened
fring'd	fringed
frisk'd	frisked
fritter'd	frittered
frolick'd	frolicked
frown'd	frowned
fry'd	fried
fulfil'd	fulfilled
fulfill'd	fulfilled
full-orb'd	full-orbed
fum'd	fumed
fun'ral	funeral
furbelow'd	furbelowed
furbish'd	furbished
furl'd	furled
furnish'd	furnished
furr'd	furred
furrow'd	furrowed
gagg'd	gagged
gain'd	gained
gall'd	galled
gallop'd	galloped
gam'd	gamed
gambol'd	gambolled
gang'd	ganged
gangren'd	gangrened
gap'd	gaped
garnish'd	garnished
garrison'd	garrisoned
garter'd	gartered
gash'd	gashed
gasp'd	gasped
gath'ring	gathering
gather'd	gathered
gaul'd	gauled
gav'st	gavest
gaz'd	gazed
gemm'd	gemmed
gen'ral	general
gen'rals	generals
gen'rous	generous
gender'd	gendered
gi'eat	great
giv'n	given
giv'st	givest
gladden'd	gladdened
glanc'd	glanced
glar'd	glared
glaz'd	glazed
gleam'd	gleamed
glean'd	gleaned
glew'd	glued
glimm'ring	glimmering
glimmer'd	glimmered
glist'ning	glistening
glisten'd	glistened
glitt'ring	glittering
glitter'd	glittered
gloom'd	gloomed
glorify'd	glorified
glory'd	gloried
gloss'd	glossed
glow'd	glowed
gnash'd	gnashed
gnaw'd	gnawed
goar'd	gored
good-humour'd	good-humoured
good-natur'd	good-natured
goodhumour'd	good-humoured
goodnatur'd	goodnatured
gor'd	gored
gorg'd	gorged
govern'd	governed
gown'd	gowned
grac'd	graced
grain'd	grained
grasp'd	grasped
gratify'd	gratified
grav'd	graved
gravell'd	gravelled
gray-hair'd	gray-haired
graz'd	grazed
greas'd	greased
green-ey'd	green-eyed
grey-hair'd	grey-haired
griev'd	grieved
grin'd	grinned
grinn'd	grinned
grip'd	griped
groan'd	groaned
grop'd	groped
group'd	grouped
grov'ling	grovelling
growl'd	growled
grubb'd	grubbed
grudg'd	grudged
guess'd	guessed
gull'd	gulled
gush'd	gushed
hack'd	hacked
hackney'd	hackneyed
had'st	hadst
hail'd	hailed
hair'd	haired
hal'd	haled
half-clos'd	half-closed
half-open'd	half-opened
half-rais'd	half-raised
half-smother'd	half-smothered
half-suppress'd	half-suppressed
hall'd	halled
halloo'd	hallooed
hallow'd	hallowed
hammer'd	hammered
hamper'd	hampered
handl'd	handled
hang'd	hanged
hap'd	happed
happ'd	happed
happen'd	happened
harangu'd	harangued
harass'd	harassed
harbour'd	harboured
hard-earn'd	hard-earned
harden'd	hardened
hare-brain'd	hare-brained
hark'e	harkee
hark'ee	harkee
hark'ye	harkee
harm'd	harmed
harmoniz'd	harmonised
harness'd	harnessed
harrass'd	harassed
harrow'd	harrowed
hasn't	hasn't
hast'ning	hastening
hasten'd	hastened
hatch'd	hatched
haul'd	hauled
hav'n't	haven't
hav'nt	haven't
hawl'd	hauled
he'd	he'd
heal'd	healed
heap'd	heaped
hear'd	heard
hear'st	hearest
hearken'd	hearkened
hears'd	hearsed
heav'd	heaved
heav'n	heaven
heav'n-born	heaven-born
heav'nly	heavenly
heav'ns	heavens
hector'd	hectored
hedg'd	hedged
heel'd	heeled
heighten'd	heightened
heir'd	heired
help'd	helped
hem'd	hemmed
hemm'd	hemmed
hew'd	hewed
hey'd	heyed
high-arch'd	high-arched
high-crown'd	high-crowned
high-rais'd	high-raised
high-soul'd	high-souled
hinder'd	hindered
hir'd	hired
hiss'd	hissed
hist'ry	history
hollow'd	hollowed
honey'd	honeyed
honor'd	honoured
honour'd	honoured
hony'd	honeyed
hoodwink'd	hoodwinked
hook'd	hooked
hoop'd	hooped
hop'd	hoped
hop'st	hopest
hopp'd	hopped
horn'd	horned
hors'd	horsed
hous'd	housed
hov'ring	hovering
hover'd	hovered
howe'er	however
howl'd	howled
howsoe'er	howsoever
huff'd	huffed
hug'd	hugged
hugg'd	hugged
hum'd	hummed
hum'rous	humorous
humaniz'd	humanised
humbl'd	humbled
humm'd	hummed
humour'd	humoured
hunch-back'd	hunch-backed
hunger'd	hungered
hurl'd	hurled
hurry'd	hurried
hush'd	hushed
huzza'd	huzzaed
hy'd	hied
hymn'd	hymned
i'd	i'd
idoliz'd	idolised
ign'rance	ignorance
ill-favour'd	ill-favoured
ill-natur'd	ill-natured
ill-omen'd	ill-omened
ill-starr'd	ill-starred
ill-tim'd	ill-timed
illnatur'd	ill-natured
illum'd	illumed
illumin'd	illumined
imag'd	imaged
imagin'd	imagined
imbark'd	embarked
imbib'd	imbibed
imbitter'd	embittered
imboss'd	embossed
imbrown'd	embrowned
imbru'd	imbrued
immerg'd	emerged
immers'd	immersed
immortaliz'd	immortalised
immur'd	immured
imp'd	imped
impair'd	impaired
impal'd	impaled
imparadis'd	emparadised
impassion'd	impassioned
impeach'd	impeached
impearl'd	impearled
impell'd	impelled
implor'd	implored
imploy'd	employed
imply'd	implied
importun'd	importuned
impos'd	imposed
impoverish'd	impoverished
impower'd	empowered
impress'd	impressed
imprison'd	imprisoned
improv'd	improved
incens'd	incensed
inclin'd	inclined
inclos'd	enclosed
incompass'd	encompassed
incourag'd	encouraged
increas'd	increased
incumber'd	encumbered
incur'd	incurred
incurr'd	incurred
indeavour'd	indeavoured
indiff'rence	indifference
indispos'd	indisposed
indow'd	endowed
indu'd	endued
induc'd	induced
indulg'd	indulged
indur'd	endured
inexperienc'd	inexperienced
infer'd	inferred
inferr'd	inferred
infix'd	infixed
inflam'd	inflamed
influenc'd	influenced
inforc'd	enforced
inform'd	informed
infring'd	infringed
infus'd	infused
